real_data,DecisionTree,RandomForest,SVR,MLP,GRU,LSTM,SLSTM,BiLSTM,NLSTM,EMD-LSTM,EMD-SLSTM,EMD-BiLSTM,EMD-NLSTM,SWT-LSTM,SWT-SLSTM,SWT-BiLSTM,SWT-NLSTM,EWT-LSTM,EWT-SLSTM,EWT-BiLSTM,EWT-NLSTM,VMD-LSTM,VMD-SLSTM,VMD-BiLSTM,VMD-NLSTM,SSA-PLSTM,SSA-SLSTM,SSA-BiLSTM,SSA-NLSTM,iTransformer
0.345837,0.09861,0.115903354,0.117340088,0.112279033,0.12005051,0.12149251,0.108646944,0.120932996,0.10853291,0.2331193,0.231238067,0.256017738,0.218680679,0.30392647,0.29881603,0.30923533,0.30125096,0.145146683,0.101461713,0.161836376,0.077389094,0.195267571,0.223185675,0.220236992,0.199102308,0.328000117,0.328554735,0.323233582,0.332979336,0.11043778
0.2212733,0.1522984,0.285348698,0.251856573,0.131332221,0.26980138,0.27667376,0.29646084,0.26300174,0.29942533,0.216648388,0.259917988,0.198151573,0.200339603,0.22728176,0.21639408,0.23358685,0.21684313,0.298762534,0.278718225,0.311918189,0.291806143,0.168969738,0.205364703,0.209873267,0.199281222,0.23822758,0.238764775,0.233640142,0.241278156,0.168462
0.1500301,0.3148364,0.278003608,0.279431105,0.517190706,0.2907977,0.2762801,0.31493503,0.27756777,0.33412576,0.275013063,0.249394565,0.270433027,0.256058015,0.20824376,0.21458125,0.2145523,0.20483616,0.31002704,0.298214845,0.328019866,0.348832914,0.170253764,0.215677449,0.212163552,0.205986377,0.158056175,0.156239386,0.16274282,0.152383887,0.23362179
0.1481383,0.08664,0.200881926,0.168012185,0.190835849,0.21577078,0.22013174,0.22358881,0.20319806,0.20307672,0.261050836,0.241550607,0.278954167,0.22237509,0.17565928,0.16925873,0.1686274,0.16322882,0.214933367,0.192181802,0.236045598,0.203734846,0.181113734,0.175655972,0.211026443,0.150011825,0.125703084,0.131881524,0.128120713,0.132969077,0.15819833
0.1830467,0.3388817,0.215899982,0.131933366,0.12840552,0.1726892,0.18551311,0.17342173,0.16074485,0.15331368,0.208530009,0.206129837,0.215553591,0.169041532,0.2032115,0.19637641,0.19962473,0.19416152,0.178412641,0.147569517,0.192332087,0.163474066,0.143762643,0.186289118,0.165318968,0.177066461,0.189670293,0.189917115,0.19564299,0.185360424,0.11531524
0.3038069,0.3873036,0.299375392,0.171254406,0.170748636,0.19220884,0.19705737,0.20340554,0.18502992,0.20279464,0.222452504,0.225634787,0.221947019,0.210211299,0.290593,0.2727557,0.2898366,0.27065343,0.237429727,0.228019877,0.288670846,0.204468703,0.211079522,0.220851847,0.248410431,0.217572136,0.295082418,0.296476861,0.288799148,0.285577853,0.18310939
0.3503633,0.316685,0.285482644,0.257496523,0.298392022,0.28437692,0.28068325,0.30181593,0.2739064,0.3151264,0.277421718,0.282117162,0.268123452,0.2752295,0.34208307,0.33549815,0.3429496,0.33441275,0.358904319,0.347170843,0.428599498,0.370857167,0.268401114,0.280262753,0.313338383,0.281316344,0.362870947,0.363218482,0.363776133,0.350331844,0.23577799
0.3805764,0.192585,0.326882856,0.30457087,0.307424393,0.35718817,0.33884764,0.36310312,0.33704436,0.37464148,0.39380295,0.389043684,0.392215917,0.39857407,0.37015387,0.37252948,0.37099266,0.3573297,0.407870984,0.389784878,0.440203538,0.425419184,0.299673151,0.306096987,0.347358587,0.302407577,0.371409589,0.368348798,0.374303852,0.369199423,0.28103557
0.3435997,0.2204916,0.360346792,0.354477266,0.597591023,0.3787467,0.36470935,0.3814545,0.3464996,0.37729573,0.428153258,0.41419755,0.433274619,0.397180552,0.33399642,0.33471885,0.3488399,0.33586252,0.403336617,0.394290158,0.419962227,0.448837884,0.334053165,0.34470332,0.370882559,0.340563539,0.313813953,0.314040229,0.324084847,0.307079766,0.3513512
0.2969751,0.3313333,0.354220534,0.322263528,0.346961603,0.35438374,0.34171128,0.35112703,0.31755558,0.35169598,0.398374976,0.396567237,0.423471023,0.373521229,0.32815057,0.32151732,0.33358905,0.32550076,0.382526263,0.367835099,0.389928035,0.439720866,0.30048824,0.3055396,0.323827485,0.298575914,0.29322863,0.294156631,0.307329608,0.293908679,0.29749808
