date,value
6/26/2018 18:00,0.000366667
6/26/2018 18:05,0.00036
6/26/2018 18:10,0.000363333
6/26/2018 18:15,0.000365
6/26/2018 18:20,0.000365
6/26/2018 18:25,0.000365
6/26/2018 18:30,0.000363333
6/26/2018 18:35,0.00036
6/26/2018 18:40,0.000365
6/26/2018 18:45,0.000358333
6/26/2018 18:50,0.000356667
6/26/2018 18:55,0.00037
6/26/2018 19:00,0.000365
6/26/2018 19:05,0.000366667
6/26/2018 19:10,0.00037
6/26/2018 19:15,0.000358333
6/26/2018 19:20,0.000361667
6/26/2018 19:25,0.000353333
6/26/2018 19:30,0.000356667
6/26/2018 19:35,0.000346667
6/26/2018 19:40,0.000345
6/26/2018 19:45,0.000345
6/26/2018 19:50,0.000345
6/26/2018 19:55,0.000346667
6/26/2018 20:00,0.00034
6/26/2018 20:05,0.000336667
6/26/2018 20:10,0.000335
6/26/2018 20:15,0.000336667
6/26/2018 20:20,0.000336667
6/26/2018 20:25,0.000335
6/26/2018 20:30,0.000335
6/26/2018 20:35,0.000333333
6/26/2018 20:40,0.000333333
6/26/2018 20:45,0.000333333
6/26/2018 20:50,0.0310333
6/26/2018 20:55,0.0403317
6/26/2018 21:00,0.0378333
6/26/2018 21:05,0.0363967
6/26/2018 21:10,0.03666
6/26/2018 21:15,0.04267
6/26/2018 21:20,0.0443383
6/26/2018 21:25,0.043595
6/26/2018 21:30,0.0325833
6/26/2018 21:35,0.026225
6/26/2018 21:40,0.0261183
6/26/2018 21:45,0.0253233
6/26/2018 21:50,0.0248583
6/26/2018 21:55,0.0244133
6/26/2018 22:00,0.023585
6/26/2018 22:05,0.0184383
6/26/2018 22:10,0.017755
6/26/2018 22:15,0.0176183
6/26/2018 22:20,0.0173983
6/26/2018 22:25,0.01735
6/26/2018 22:30,0.016555
6/26/2018 22:35,0.01612
6/26/2018 22:40,0.016015
6/26/2018 22:45,0.015795
6/26/2018 22:50,0.0209983
6/26/2018 22:55,0.0215433
6/26/2018 23:00,0.0209967
6/26/2018 23:05,0.0201717
6/26/2018 23:10,0.0153233
6/26/2018 23:15,0.0191767
6/26/2018 23:20,0.02038
6/26/2018 23:25,0.0202767
6/26/2018 23:30,0.02026
6/26/2018 23:35,0.0202117
6/26/2018 23:40,0.020175
6/26/2018 23:45,0.0200133
6/26/2018 23:50,0.0149867
6/26/2018 23:55,0.014385
6/27/2018 0:00,0.014785
6/27/2018 0:05,0.0150233
6/27/2018 0:10,0.0148067
6/27/2018 0:15,0.0207433
6/27/2018 0:20,0.02024
6/27/2018 0:25,0.02021
6/27/2018 0:30,0.0168083
6/27/2018 0:35,0.0146133
6/27/2018 0:40,0.014355
6/27/2018 0:45,0.0142083
