date,value
6/26/2018 18:00,0.127827
6/26/2018 18:05,0.1378
6/26/2018 18:10,0.0496233
6/26/2018 18:15,0.143202
6/26/2018 18:20,0.220893
6/26/2018 18:25,0.0553933
6/26/2018 18:30,0.0855083
6/26/2018 18:35,0.118383
6/26/2018 18:40,0.135723
6/26/2018 18:45,0.230983
6/26/2018 18:50,0.089725
6/26/2018 18:55,0.140627
6/26/2018 19:00,0.137343
6/26/2018 19:05,0.0945733
6/26/2018 19:10,0.0617233
6/26/2018 19:15,0.107515
6/26/2018 19:20,0.122045
6/26/2018 19:25,0.120663
6/26/2018 19:30,0.0698367
6/26/2018 19:35,0.0897767
6/26/2018 19:40,0.143552
6/26/2018 19:45,0.0590917
6/26/2018 19:50,0.0495267
6/26/2018 19:55,0.0454017
6/26/2018 20:00,0.044705
6/26/2018 20:05,0.0447567
6/26/2018 20:10,0.0446367
6/26/2018 20:15,0.05216
6/26/2018 20:20,0.052725
6/26/2018 20:25,0.04751
6/26/2018 20:30,0.0456967
6/26/2018 20:35,0.0377333
6/26/2018 20:40,0.03857
6/26/2018 20:45,0.036935
6/26/2018 20:50,0.0368283
6/26/2018 20:55,0.0435183
6/26/2018 21:00,0.0718267
6/26/2018 21:05,0.0771167
6/26/2018 21:10,0.0749133
6/26/2018 21:15,0.06968
6/26/2018 21:20,0.08763
6/26/2018 21:25,0.138378
6/26/2018 21:30,0.0655
6/26/2018 21:35,0.0648317
6/26/2018 21:40,0.114502
6/26/2018 21:45,0.0655333
6/26/2018 21:50,0.0491233
6/26/2018 21:55,0.0381567
6/26/2018 22:00,0.0385633
6/26/2018 22:05,0.038735
6/26/2018 22:10,0.0385883
6/26/2018 22:15,0.0399983
6/26/2018 22:20,0.0495967
6/26/2018 22:25,0.0590633
6/26/2018 22:30,0.064505
6/26/2018 22:35,0.066955
6/26/2018 22:40,0.0660483
6/26/2018 22:45,0.05955
6/26/2018 22:50,0.0593617
6/26/2018 22:55,0.0536933
6/26/2018 23:00,0.0523917
6/26/2018 23:05,0.0521533
6/26/2018 23:10,0.0548467
6/26/2018 23:15,0.0555683
6/26/2018 23:20,0.0555033
6/26/2018 23:25,0.127665
6/26/2018 23:30,0.0558817
6/26/2018 23:35,0.0545583
6/26/2018 23:40,0.0477783
6/26/2018 23:45,0.047685
6/26/2018 23:50,0.0477483
6/26/2018 23:55,0.0996117
6/27/2018 0:00,0.05518
6/27/2018 0:05,0.068145
6/27/2018 0:10,0.05843
6/27/2018 0:15,0.07219
6/27/2018 0:20,0.193775
6/27/2018 0:25,0.21887
6/27/2018 0:30,0.216035
6/27/2018 0:35,0.225778
6/27/2018 0:40,0.124868
6/27/2018 0:45,0.0855833
6/27/2018 0:50,0.07921
6/27/2018 0:55,0.08223
6/27/2018 1:00,0.0821467
6/27/2018 1:05,0.0640517
6/27/2018 1:10,0.075065
6/27/2018 1:15,0.0661467
6/27/2018 1:20,0.0692367
6/27/2018 1:25,0.09597
6/27/2018 1:30,0.0778933
6/27/2018 1:35,0.0796883
6/27/2018 1:40,0.05816
6/27/2018 1:45,0.0540083
6/27/2018 1:50,0.0480933
6/27/2018 1:55,0.0558283
6/27/2018 2:00,0.0558767
6/27/2018 2:05,0.055575
